"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","NAICS_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000345074","TRIS","27008STHRNHWY70","TRI REPORTER","311119","PRIMARY","OTHER ANIMAL FOOD MANUFACTURING."
"110000345074","RMP","100000074778","RMP REPORTER","311119","UNKNOWN","OTHER ANIMAL FOOD MANUFACTURING."
"110000345074","EIS","14649511","AIR SYNTHETIC MINOR","311119","PRIMARY","OTHER ANIMAL FOOD MANUFACTURING."
"110000345074","AIR","NC0000003708000066","AIR SYNTHETIC MINOR","311119","PRIMARY","OTHER ANIMAL FOOD MANUFACTURING."
"110000345074","AIRS/AFS","3715900066","AIR MINOR","311119","PRIMARY","OTHER ANIMAL FOOD MANUFACTURING."
"110000345083","AIRS/AFS","3715900162","AIR MINOR","812930","PRIMARY","PARKING LOTS AND GARAGES."
"110000345083","EIS","8010011","CRITERIA AIR POLLUTANT MAJOR","33612","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING"
"110000345083","OSHA-OIS","343092391","OSHA ESTABLISHMENT","336120","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING."
"110000345083","OSHA-OIS","341626687","OSHA ESTABLISHMENT","336120","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING."
"110000345083","AIRS/AFS","3715900045","AIR MAJOR","336120","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING."
"110000345083","CEDRI","CEDRI10045814","COMPLIANCE AND EMISSIONS REPORTING","336120","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING."
"110000345083","RCRAINFO","NCD018652339","LQG","336120","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING."
"110000345083","AIR","NC0000003708000045","AIR MAJOR","336120","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING."
"110000345083","TRIS","27013FRGHTHWY70","TRI REPORTER","336120","PRIMARY","HEAVY DUTY TRUCK MANUFACTURING."
"110000345092","TRIS","27013GRNNLPOBOX","TRI REPORTER","334514","PRIMARY","TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING."
"110000345092","RCRAINFO","NCP081914030","UNSPECIFIED UNIVERSE","334514","PRIMARY","TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING."
"110000345092","OSHA-OIS","317408136","OSHA ESTABLISHMENT","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000345109","EIS","8010311","AIR MINOR","311615","PRIMARY","POULTRY PROCESSING."
"110000345109","RMP","100000063049","RMP REPORTER","11239","UNKNOWN","OTHER POULTRY PRODUCTION"
"110000345109","NC-FITS","3449","STATE MASTER","311999","UNKNOWN","ALL OTHER MISCELLANEOUS FOOD MANUFACTURING."
"110000345109","RMP","100000063049","RMP REPORTER","311615","UNKNOWN","POULTRY PROCESSING."
"110000345109","TRIS","27017WYNFR1018E","TRI REPORTER","311615","PRIMARY","POULTRY PROCESSING."
"110000345109","RMP","100000063049","RMP REPORTER","31161","UNKNOWN","ANIMAL SLAUGHTERING AND PROCESSING"
"110000345118","AIR","NC0000003707900038","AIR MAJOR","327121","PRIMARY","BRICK AND STRUCTURAL CLAY TILE MANUFACTURING."
"110000345118","OSHA-OIS","317621498","OSHA ESTABLISHMENT","327331","PRIMARY","CONCRETE BLOCK AND BRICK MANUFACTURING."
"110000345118","OSHA-OIS","317602910","OSHA ESTABLISHMENT","327991","PRIMARY","CUT STONE AND STONE PRODUCT MANUFACTURING."
